kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,93000,A0,G25OR,S25,True,16,7112.845466473289,30339.227332366543,113,88,120,104,0,1,0,64,16
uniform,3,93000,G25O,G25OR,S25,True,16,4728.355476508608,20031.77738254304,108,102,16,0,0,0,36,,16
uniform,3,93001,A0,G25OR,S25,True,13,5645.603728850582,24778.018644252916,107,90,13,0,0,0,0,55,13
uniform,3,93001,G25O,G25OR,S25,True,13,4092.5883375692033,16932.941687846018,107,106,13,0,0,0,35,,13
uniform,3,93002,A0,G25OR,S25,True,15,5577.679272297108,24458.396361485546,105,86,15,0,0,0,0,64,15
uniform,3,93002,G25O,G25OR,S25,True,15,4180.560292368249,17487.801461841238,102,98,15,0,0,0,39,,15
uniform,3,93003,A0,G25OR,S25,True,13,5643.206783219,24541.033916095002,114,100,13,0,0,0,0,51,13
uniform,3,93003,G25O,G25OR,S25,True,13,4433.566679674813,18457.833398374052,114,107,13,0,0,0,31,,13
uniform,3,93004,A0,G25OR,S25,True,16,5770.353859966625,25431.769299833122,103,89,16,0,0,0,0,60,16
uniform,3,93004,G25O,G25OR,S25,True,16,4113.153769151426,17035.76884575713,105,101,16,0,0,0,39,,16
uniform,3,93005,A0,G25OR,S25,True,14,6050.221009823268,26241.10504911634,125,107,14,0,0,0,0,55,14
uniform,3,93005,G25O,G25OR,S25,True,14,4712.802520005594,19549.012600027974,123,118,14,0,0,0,32,,14
uniform,3,93006,A0,G25OR,S25,True,16,5447.444197575373,23807.22098787688,103,91,16,0,0,0,0,64,16
uniform,3,93006,G25O,G25OR,S25,True,16,4412.317858056406,18701.589290282023,100,92,16,0,0,0,42,,16
uniform,3,93007,A0,G25OR,S25,True,12,4901.633822455847,21043.169112279233,108,93,12,0,0,0,0,43,12
uniform,3,93007,G25O,G25OR,S25,True,12,4539.128775811905,18975.643879059535,115,109,12,0,0,0,31,,12
uniform,3,93008,A0,G25OR,S25,True,13,5322.837960195379,23194.189800976892,105,94,13,0,0,0,0,46,13
uniform,3,93008,G25O,G25OR,S25,True,13,4105.025314632138,16845.126573160695,113,106,13,0,0,0,34,,13
uniform,3,93009,A0,G25OR,S25,True,12,5155.071107176932,22400.355535884664,105,90,12,0,0,0,0,46,12
uniform,3,93009,G25O,G25OR,S25,True,12,4048.502973010667,16747.514865053334,107,104,12,0,0,0,29,,12
uniform,3,93010,A0,G25OR,S25,True,15,5699.218926727653,24771.094633638248,114,100,15,0,0,0,0,56,15
uniform,3,93010,G25O,G25OR,S25,True,15,4434.159842996489,18405.79921498244,114,108,15,0,0,0,34,,15
uniform,3,93011,A0,G25OR,S25,True,12,5355.749821537145,23083.749107685726,116,99,12,0,0,0,0,44,12
uniform,3,93011,G25O,G25OR,S25,True,12,4313.2046099795425,17721.023049897714,119,114,12,0,0,0,28,,12
uniform,3,93012,A0,G25OR,S25,True,13,5696.003678115886,24870.018390579433,113,92,13,0,0,0,0,56,13
uniform,3,93012,G25O,G25OR,S25,True,13,3967.4310216575277,16342.155108287643,106,104,13,0,0,0,29,,13
uniform,3,93013,A0,G25OR,S25,True,15,5964.244103185673,26161.220515928377,113,92,15,0,0,0,0,63,15
uniform,3,93013,G25O,G25OR,S25,True,15,4386.900329566829,18399.501647834146,106,102,15,0,0,0,34,,15
uniform,3,93014,A0,G25OR,S25,True,14,5779.166004752115,25430.830023760558,107,88,14,0,0,0,0,57,14
uniform,3,93014,G25O,G25OR,S25,True,14,4307.136952898907,17960.68476449454,108,105,14,0,0,0,37,,14
uniform,3,93015,A0,G25OR,S25,True,16,5915.896779088691,26134.483895443445,105,84,16,0,0,0,0,66,16
uniform,3,93015,G25O,G25OR,S25,True,16,3933.5407341756168,16577.703670878083,91,83,16,0,0,0,37,,16
uniform,3,93016,A0,G25OR,S25,True,15,6005.359546790244,26431.79773395123,111,89,15,0,0,0,0,67,15
uniform,3,93016,G25O,G25OR,S25,True,15,4214.714661223066,17593.573306115326,104,101,15,0,0,0,38,,15
uniform,3,93017,A0,G25OR,S25,True,10,4953.1123032617015,20750.56151630851,128,113,10,0,0,0,0,38,10
uniform,3,93017,G25O,G25OR,S25,True,10,3951.189945663374,15595.949728316875,131,127,10,0,0,0,24,,10
uniform,3,93018,A0,G25OR,S25,True,10,4899.583534949185,20677.917674745917,121,109,10,0,0,0,0,40,10
uniform,3,93018,G25O,G25OR,S25,True,10,3852.697340949366,15488.48670474683,119,110,10,0,0,0,21,,10
uniform,3,93019,A0,G25OR,S25,True,13,5473.835986174133,23574.17993087067,118,104,13,0,0,0,0,53,13
uniform,3,93019,G25O,G25OR,S25,True,13,4260.7104065634985,17633.552032817493,112,109,13,0,0,0,27,,13
uniform,3,93020,A0,G25OR,S25,True,16,5525.308247546444,24076.541237732235,108,90,16,0,0,0,0,64,16
uniform,3,93020,G25O,G25OR,S25,True,16,4173.109277769632,17425.546388848157,103,93,16,0,0,0,40,,16
uniform,3,93021,A0,G25OR,S25,True,12,5073.077428615783,21725.3871430789,114,98,12,0,0,0,0,47,12
uniform,3,93021,G25O,G25OR,S25,True,12,4164.662702783841,17093.31351391921,115,111,12,0,0,0,29,,12
uniform,3,93022,A0,G25OR,S25,True,13,5329.2419524373845,23021.209762186918,113,95,13,0,0,0,0,50,13
uniform,3,93022,G25O,G25OR,S25,True,13,4098.404496071948,16757.02248035974,114,112,13,0,0,0,31,,13
uniform,3,93023,A0,G25OR,S25,True,13,6959.42714201955,29452.13571009785,115,99,123,110,0,1,0,50,13
uniform,3,93023,G25O,G25OR,S25,True,13,4019.462705547252,16347.313527736256,115,110,13,0,0,0,30,,13
uniform,3,93024,A0,G25OR,S25,True,15,5453.186277305953,24105.931386529766,96,77,15,0,0,0,0,54,15
